V (mL),pH,H3PO4
1e-08,2.2790179071608936,-0.0002910225129749308
1.648277267132548,2.382260150522905,-0.0003773240272649487
3.076870048183385,2.485502393884916,-0.00048420267683874947
4.3070071900089495,2.5887446372469274,-0.0006166917307064275
5.357833727559429,2.691986880608938,-0.0007814666656232152
6.247561504115709,2.7952291239709495,-0.0009872336189614612
6.994028615539909,2.8984713673329607,-0.0012451945545967952
7.614748456185988,3.001713610694972,-0.0015696340157384196
8.126643818561185,3.104955854056983,-0.001978668466615543
8.545668773486405,3.208198097418994,-0.0024951944761088325
8.886466032396168,3.3114403407810054,-0.0031480653397929588
9.162136543457326,3.4146825841430166,-0.0039735099202741495
9.3841401155871,3.5179248275050274,-0.005016767277448024
9.562310674668781,3.6211670708670387,-0.0063338168000355195
9.704954950663888,3.72440931422905,-0.007992880566255208
9.819002058771158,3.8276515575910612,-0.010074961205078739
9.91017688085479,3.9308938009530725,-0.012671884409959663
9.983177721636489,4.034136044315084,-0.01587890408924533
10.041845858173982,4.1373782876770955,-0.019776732738973873
10.089320281864948,4.240620531039106,-0.024395343161717174
10.128174978087777,4.343862774401117,-0.029651664391209923
10.160538725776695,4.447105017763128,-0.03526266317555049
10.188198974205513,4.55034726112514,-0.040665893081799444
10.212692197911577,4.653589504487151,-0.04503075243467664
10.23538350683697,4.756831747849162,-0.047461650909731055
10.257538385008099,4.860073991211173,-0.04737661115682
10.280389366618442,4.963316234573184,-0.04482020105516863
10.30520029521621,5.066558477935195,-0.04043494633338064
10.333330562958874,5.169800721297206,-0.03511971874812368
10.36630135982623,5.273042964659218,-0.029669027573190558
10.405865395775612,5.376285208021228,-0.02460223154126121
10.454080653998474,5.479527451383239,-0.020171084655594917
10.513387286319189,5.5827696947452505,-0.016442274669176294
10.586684497133742,5.686011938107262,-0.013380329924184753
10.677400849298637,5.789254181469273,-0.010905149672646653
10.789546539695241,5.892496424831284,-0.008924855239456636
10.927729668140008,5.995738668193296,-0.007351904518970456
11.097110653143728,6.098980911555307,-0.006109632095686073
11.303260974525664,6.202223154917317,-0.0051339085208037954
11.55188719229525,6.3054653982793285,-0.0043725804484607425
11.848383719231416,6.40870764164134,-0.0037840721365672574
12.197195138400751,6.511949885003351,-0.0033358133703362013
12.60100803482685,6.615192128365362,-0.003002787526299052
13.059855661458187,6.718434371727374,-0.002766311640934161
13.570296521404938,6.821676615089385,-0.0026130770583184916
14.124892406847342,6.924918858451396,-0.0025344452704190337
14.712220377986721,7.028161101813408,-0.0025259835385922245
15.31756967167912,7.131403345175418,-0.0025872261619131875
15.92429841685237,7.234645588537431,-0.0027216537776365993
16.515613173393376,7.33788783189944,-0.002936892080012511
17.076382675158868,7.4411300752614515,-0.0032451416633696136
17.594584423587946,7.544372318623463,-0.003663861866596156
18.06211584210048,7.647614561985474,-0.0042167431884085815
18.47491075866973,7.750856805347485,-0.0049350135347707505
18.832488623282558,7.854099048709497,-0.005859138801194088
19.137165663192537,7.957341292071508,-0.007040964319501132
19.39315807087991,8.06058353543352,-0.00854636009126024
19.605752066826756,8.16382577879553,-0.01045835578816609
19.780635693734705,8.267068022157542,-0.012880645531976907
19.92342110288443,8.370310265519553,-0.015941057850403763
20.039342828696064,8.473552508881562,-0.01979400281318927
20.133097117175247,8.576794752243575,-0.024619750406584866
20.208782961528257,8.680036995605585,-0.030616238443098125
20.269909869979756,8.783279238967598,-0.03797545297058205
20.3194451618439,8.886521482329607,-0.04683123939315894
20.359881590117503,8.98976372569162,-0.05716099858121771
20.39331286679051,9.09300596905363,-0.06862904899739147
20.42150981421022,9.196248212415643,-0.08039491724156127
20.44599350055773,9.299490455777653,-0.09099719082489705
20.46810415515907,9.402732699139666,-0.09852692202507994
20.489066241151722,9.505974942501675,-0.1012485881950997
20.510051084054005,9.609217185863688,-0.09843806061132386
20.532239145514243,9.712459429225698,-0.09079728130078944
20.55688456366339,9.81570167258771,-0.08005699975373401
20.585385082512712,9.91894391594972,-0.06813852384424365
20.61936106179911,10.02218615931173,-0.05652054593099134
20.660747981004477,10.125428402673743,-0.04605607904536978
20.711907812187082,10.228670646035752,-0.03708624653674082
20.775765934159548,10.331912889397765,-0.029633829430137197
20.855982022189046,10.435155132759775,-0.023562442630381243
20.95716574783483,10.538397376121788,-0.018676633970362937
21.08515141513457,10.641639619483797,-0.014775011149198174
21.24735021689739,10.74488186284581,-0.01167422768976485
21.453205188749376,10.84812410620782,-0.009217241010144305
21.714783056892305,10.951366349569833,-0.007273968301633676
22.047550432866853,11.054608592931842,-0.005738727565878369
22.471401511521243,11.157850836293855,-0.004526646399456025
23.012034430543665,11.261093079655865,-0.0035700382991602285
23.702820356474223,11.364335323017878,-0.002815150599174386
24.587384805323516,11.467577566379887,-0.00221940466594038
25.723245776867255,11.5708198097419,-0.0017491234099250102
27.18706745966375,11.67406205310391,-0.001377692303461805
29.082468123781158,11.777304296465923,-0.0010840868182140826
31.552021043035122,11.880546539827932,-0.0008517013313776306
34.79643551263948,11.983788783189945,-0.0006674224628988613
39.106635535361754,12.087031026551955,-0.0005208990389749737
44.920327918752896,12.190273269913968,-0.0004039694387166978
52.92825252156731,12.293515513275977,-0.0003102141287409475
64.28983703079105,12.396757756637987,-0.0002346064733804995
81.11663468530392,12.5,-0.00017323858032996522
